code_quality_metric,python_examples,javascript_examples,java_examples,description,impact_on_ai_training
Readability Score,8.5,7.8,8.2,"Code readability measured by variable naming, comments, structure","High - readable code teaches better patterns"
Complexity (Cyclomatic),4.2,5.1,4.8,"Average cyclomatic complexity across functions","Medium - helps AI understand control flow"
Documentation Coverage,85%,72%,90%,"Percentage of functions/classes with documentation","High - teaches documentation patterns"
Type Safety,High,Medium,High,"Level of type safety and compile-time checks","High - teaches type discipline"
Error Handling,Comprehensive,Good,Excellent,"Quality and coverage of error handling","High - teaches robust programming"
Test Coverage,78%,65%,82%,"Percentage of code covered by tests","High - teaches testing practices"
Performance Patterns,Good,Excellent,Good,"Efficiency of algorithms and data structures","Medium - teaches optimization"
Security Practices,Good,Good,Excellent,"Implementation of security best practices","High - teaches secure coding"
Code Reusability,High,High,High,"Level of modularity and reusability","High - teaches modular design"
Maintainability Index,8.1,7.5,8.4,"Overall maintainability score","High - teaches sustainable code practices"
Design Patterns Usage,Comprehensive,Good,Comprehensive,"Implementation of common design patterns","High - teaches proven solutions"
Comments Quality,High,Medium,High,"Quality and relevance of code comments","Medium - teaches documentation"
Function Length,Optimal,Good,Optimal,"Average function length (lines of code)","Medium - teaches function decomposition"
Naming Conventions,Consistent,Consistent,Consistent,"Adherence to language naming conventions","High - teaches language idioms"
Code Duplication,Low,Low,Low,"Amount of duplicated code","Medium - teaches DRY principle"